Stadium,College,Conference,Capacity,Opened
Bright House Networks Stadium,Central Florida,AAC,45323,2007
Nippert Stadium,Cincinnati,AAC,40000,1916
Dowdy Ficklen Stadium,East Carolina,AAC,50000,1963
TDECU Stadium,Houston,AAC,40000,2014
Liberty Bowl,Memphis,AAC,62380,1965
Memorial Stadium,Navy,AAC,34000,1959
Raymond James Stadium,South Florida,AAC,65857,1998
Gerald Ford Stadium,Southern Methodist,AAC,32000,2000
Yulman Stadium,Tulane,AAC,30000,2014
Lincoln Financial Field,Tulsa,AAC,68532,2003
Skelly Field,Tulsa,AAC,35542,1930
Rentschler Field,University of Connecticut,AAC,40000,2003
Alumni Stadium,Boston College,ACC,44500,1957
Memorial Stadium,Clemson,ACC,81500,1942
Wallace Wade Stadium,Duke,ACC,40004,1929
Doak Campbell Stadium,Florida State,ACC,82300,1950
Bobby Dodd Stadium,Georgia Institute of Technology,ACC,55000,1913
Papa John's Cardinal Stadium,Louisville,ACC,55000,1998
Kenan Stadium,North Carolina,ACC,62980,1927
Carter Finley Stadium,North Carolina State,ACC,57583,1966
Heinz Field,Pittsburgh,ACC,65500,2001
Carrier Dome,Syracuse,ACC,49250,1980
Hard Rock Stadium,University of Miami (Florida),ACC,65236,1987
Scott Stadium,University of Virginia,ACC,61500,1931
Lane Stadium,Virginia Polytechnic Institute and State University,ACC,66233,1965
BB&T Field,Wake Forest,ACC,31500,1968
Floyd Casey Stadium,Baylor,Big 12,50000,1950
Jack Trice Stadium,Iowa State,Big 12,61000,1975
Bill Snyder Football Stadium,Kansas State University,Big 12,50000,1968
Memorial Stadium,Oklahoma,Big 12,84000,1925
Boone Pickens Stadium,Oklahoma State,Big 12,60218,1920
Amon Carter Stadium,Texas Christian,Big 12,45000,1929
Jones AT&T Stadium,Texas Tech,Big 12,60862,1947
Memorial Stadium,University of Kansas,Big 12,50071,1921
Royal Memorial Stadium,University of Texas at Austin,Big 12,100119,1924
Mountaineer Field,West Virginia,Big 12,60000,1980
Memorial Stadium,"Indiana University, Bloomington",Big Ten,52959,1960
Byrd Stadium,Maryland,Big Ten,54000,1950
Spartan Stadium,Michigan State,Big Ten,75005,1923
TCF Bank Stadium,Minnesota,Big Ten,50805,2009
Memorial Stadium,Nebraska,Big Ten,92000,1923
Ryan Field,Northwestern University,Big Ten,47130,1926
Ohio Stadium,Ohio State,Big Ten,102329,1922
Beaver Stadium,Pennsylvania State University,Big Ten,106572,1960
Ross Ade Stadium,Purdue,Big Ten,62500,1924
High Point Solutions Stadium,"Rutgers, The State University of New Jersey, New Brunswick",Big Ten,52454,1994
Memorial Stadium,University of Illinois Urbana-Champaign,Big Ten,60670,1923
Kinnick Stadium,University of Iowa,Big Ten,70585,1929
Michigan Stadium,University of Michigan,Big Ten,107601,1927
Camp Randall Stadium,Wisconsin,Big Ten,80321,1917
Jerry Richardson Stadium,Charlotte,C-USA,15314,2013
FAU Stadium,Florida Atlantic,C-USA,30000,2011
FIU Stadium,Florida International,C-USA,23500,1995
Joe Aillet Stadium,Louisiana Tech,C-USA,30600,1968
Joan Edwards Stadium,Marshall,C-USA,38019,1991
Floyd Stadium,Middle Tennessee,C-USA,31000,1933
Apogee Stadium,North Texas,C-USA,30850,2011
Foreman Field,Old Dominion,C-USA,20118,1936
Rice Stadium,Rice,C-USA,47000,1950
Roberts Stadium,Southern Mississippi,C-USA,36000,1932
Sun Bowl Stadium,Texas-El Paso,C-USA,51500,1963
Alamodome,University of Texas at San Antonio,C-USA,65000,1993
LT Smith Stadium,Western Kentucky,C-USA,22113,1968
Michie Stadium,Army,Ind.,38000,1924
LaVell Edwards Stadium,Brigham Young,Ind.,63725,1965
Aggie Memorial Stadium,New Mexico State,Ind.,30343,1978
Notre Dame Stadium,Notre Dame,Ind.,80795,1930
Gillette Stadium,Massachusetts,Ind.,68756,2002
InfoCision Stadium,Akron,MAC,30000,2009
Scheumann Stadium,Ball State,MAC,22500,1967
Doyt Perry Stadium,Bowling Green,MAC,23724,1966
UB Stadium,Buffalo,MAC,29013,1993
Kelly Shorts Stadium,Central Michigan,MAC,30255,1972
Rynearson Stadium,Eastern Michigan,MAC,30200,1969
Dix Stadium,Kent State,MAC,25319,1969
Yager Stadium,Miami (Ohio),MAC,24286,1983
Huskie Stadium,Northern Illinois,MAC,24000,1965
Peden Stadium,Ohio,MAC,24000,1929
Glass Bowl,Toledo,MAC,26248,1937
Waldo Stadium,Western Michigan,MAC,30200,1939
Falcon Stadium,Air Force,Mt. West,52237,1962
Albertsons Stadium,Boise State,Mt. West,37000,1970
Bulldog Stadium,"California State University, Fresno",Mt. West,41031,1980
Hughes Stadium,Colorado State,Mt. West,34400,1968
Aloha Stadium,Hawaii,Mt. West,50000,1975
MacKay Stadium,Nevada,Mt. West,29993,1966
Sam Boyd Stadium,Nevada-Las Vegas,Mt. West,36800,1971
Qualcomm Stadium,San Diego State,Mt. West,70561,1967
Spartan Stadium,San Jose State,Mt. West,30456,1933
University Stadium,University of New Mexico,Mt. West,39224,1960
Maverik Stadium,Utah State,Mt. West,25513,1968
War Memorial Stadium,Wyoming,Mt. West,29181,1950
Arizona Stadium,Arizona,Pac-12,56037,1928
Sun Devil Stadium,Arizona State,Pac-12,56232,1958
Autzen Stadium,Oregon,Pac-12,54000,1967
Reser Stadium,Oregon State,Pac-12,45674,1953
Los Angeles Coliseum,Southern California,Pac-12,93607,1923
Stanford Stadium,Stanford,Pac-12,50000,1921
Memorial Stadium,"University of California, Berkeley",Pac-12,62717,1923
Rose Bowl,"University of California, Los Angeles",Pac-12,89702,1921
Folsom Field,"University of Colorado, Boulder",Pac-12,53750,1924
Rice Eccles Stadium,University of Utah,Pac-12,45017,1998
Husky Stadium,University of Washington,Pac-12,70138,1920
Martin Stadium,Washington State,Pac-12,35117,1972
Jordan Hare Stadium,Auburn,SEC,87451,1939
Tiger Stadium,Louisiana State University ,SEC,100500,1924
Vaught Hemingway Stadium,Mississippi,SEC,58580,1915
Davis Wade Stadium,Mississippi State,SEC,64038,1914
Faurot Field,Missouri,SEC,71004,1927
Kyle Field,Texas A&M,SEC,106511,1904
Bryant Denny Stadium,University of Alabama,SEC,101821,1929
Razorback Stadium,"University of Arkansas, Fayetteville",SEC,72000,1938
Ben Hill Griffin Stadium,University of Florida,SEC,88548,1930
Sanford Stadium,University of Georgia,SEC,92746,1929
Commonwealth Stadium,University of Kentucky,SEC,61000,1973
Williams Brice Stadium,"University of South Carolina, Columbia",SEC,80250,1934
Neyland Stadium,"University of Tennessee, Knoxville",SEC,102521,1921
Vanderbilt Stadium,Vanderbilt,SEC,40550,1922
Kidd Brewer Stadium,Appalachain State,Sun Belt,24150,1962
Centennial Bank Stadium,Arkansas State,Sun Belt,30964,2002
Paulson Stadium,Georgia Southern,Sun Belt,24300,1984
Georgia Dome,Georgia State,Sun Belt,28155,1992
Kibbie Dome,Idaho,Sun Belt,16000,1975
Cajun Field,Louisiana-Lafayette,Sun Belt,31000,1971
Ladd Peebles Stadium,South Alabama,Sun Belt,40646,1948
Bobcat Stadium,Texas State,Sun Belt,30000,1981
Veterans Memorial Stadium,Troy,Sun Belt,30000,1950
Malone Stadium,University of Louisiana at Monroe,Sun Belt,30427,1978
Williams Stadium,Liberty,Ind.,25000,1989
James C. Benton Field,Coastal Carolina,Sun Belt,20000,2003
