Unnamed: 0,ds,yhat,yhat_lower,yhat_upper,zipcode
0.0,2018-01-01,786846.9524537202,779018.6580449224,794382.8708708985,20001
1.0,2018-02-01,791448.0707356805,783542.77751424,799822.3094321627,20001
2.0,2018-03-01,798743.8584497492,790538.2038400684,807856.2984529238,20001
3.0,2018-04-01,803367.3670846124,792792.1952819129,813994.1957498853,20001
4.0,2018-05-01,809417.3223539225,796458.8105856415,823250.867479232,20001
5.0,2018-06-01,813348.8760128027,798080.0008416339,832053.5866289064,20001
6.0,2018-07-01,817544.6544986108,797123.7776594814,838604.4912087985,20001
7.0,2018-08-01,822145.4698156724,798829.4756576287,848704.4140979421,20001
8.0,2018-09-01,827959.7543596914,798817.0098624498,858883.4948149045,20001
9.0,2018-10-01,832579.2587486879,799423.0849972736,871127.6412008323,20001
10.0,2018-11-01,838368.5992087629,797655.9695491875,883734.690755837,20001
11.0,2018-12-01,843200.3660094852,798051.143855168,892031.7161360707,20001
12.0,2018-01-01,786846.9524537202,779018.6580449224,794382.8708708985,20002
13.0,2018-02-01,791448.0707356805,783542.77751424,799822.3094321627,20002
14.0,2018-03-01,798743.8584497492,790538.2038400684,807856.2984529238,20002
15.0,2018-04-01,803367.3670846124,792792.1952819129,813994.1957498853,20002
16.0,2018-05-01,809417.3223539225,796458.8105856415,823250.867479232,20002
17.0,2018-06-01,813348.8760128027,798080.0008416339,832053.5866289064,20002
18.0,2018-07-01,817544.6544986108,797123.7776594814,838604.4912087985,20002
19.0,2018-08-01,822145.4698156724,798829.4756576287,848704.4140979421,20002
20.0,2018-09-01,827959.7543596914,798817.0098624498,858883.4948149045,20002
21.0,2018-10-01,832579.2587486879,799423.0849972736,871127.6412008323,20002
22.0,2018-11-01,838368.5992087629,797655.9695491875,883734.690755837,20002
23.0,2018-12-01,843200.3660094852,798051.143855168,892031.7161360707,20002
24.0,2018-01-01,786846.9524537202,779018.6580449224,794382.8708708985,20003
25.0,2018-02-01,791448.0707356805,783542.77751424,799822.3094321627,20003
26.0,2018-03-01,798743.8584497492,790538.2038400684,807856.2984529238,20003
27.0,2018-04-01,803367.3670846124,792792.1952819129,813994.1957498853,20003
28.0,2018-05-01,809417.3223539225,796458.8105856415,823250.867479232,20003
29.0,2018-06-01,813348.8760128027,798080.0008416339,832053.5866289064,20003
30.0,2018-07-01,817544.6544986108,797123.7776594814,838604.4912087985,20003
31.0,2018-08-01,822145.4698156724,798829.4756576287,848704.4140979421,20003
32.0,2018-09-01,827959.7543596914,798817.0098624498,858883.4948149045,20003
33.0,2018-10-01,832579.2587486879,799423.0849972736,871127.6412008323,20003
34.0,2018-11-01,838368.5992087629,797655.9695491875,883734.690755837,20003
35.0,2018-12-01,843200.3660094852,798051.143855168,892031.7161360707,20003
36.0,2018-01-01,786846.9524537202,779018.6580449224,794382.8708708985,20007
37.0,2018-02-01,791448.0707356805,783542.77751424,799822.3094321627,20007
38.0,2018-03-01,798743.8584497492,790538.2038400684,807856.2984529238,20007
39.0,2018-04-01,803367.3670846124,792792.1952819129,813994.1957498853,20007
40.0,2018-05-01,809417.3223539225,796458.8105856415,823250.867479232,20007
41.0,2018-06-01,813348.8760128027,798080.0008416339,832053.5866289064,20007
42.0,2018-07-01,817544.6544986108,797123.7776594814,838604.4912087985,20007
43.0,2018-08-01,822145.4698156724,798829.4756576287,848704.4140979421,20007
44.0,2018-09-01,827959.7543596914,798817.0098624498,858883.4948149045,20007
45.0,2018-10-01,832579.2587486879,799423.0849972736,871127.6412008323,20007
46.0,2018-11-01,838368.5992087629,797655.9695491875,883734.690755837,20007
47.0,2018-12-01,843200.3660094852,798051.143855168,892031.7161360707,20007
48.0,2018-01-01,786846.9524537202,779018.6580449224,794382.8708708985,20008
49.0,2018-02-01,791448.0707356805,783542.77751424,799822.3094321627,20008
50.0,2018-03-01,798743.8584497492,790538.2038400684,807856.2984529238,20008
51.0,2018-04-01,803367.3670846124,792792.1952819129,813994.1957498853,20008
52.0,2018-05-01,809417.3223539225,796458.8105856415,823250.867479232,20008
53.0,2018-06-01,813348.8760128027,798080.0008416339,832053.5866289064,20008
54.0,2018-07-01,817544.6544986108,797123.7776594814,838604.4912087985,20008
55.0,2018-08-01,822145.4698156724,798829.4756576287,848704.4140979421,20008
56.0,2018-09-01,827959.7543596914,798817.0098624498,858883.4948149045,20008
57.0,2018-10-01,832579.2587486879,799423.0849972736,871127.6412008323,20008
58.0,2018-11-01,838368.5992087629,797655.9695491875,883734.690755837,20008
59.0,2018-12-01,843200.3660094852,798051.143855168,892031.7161360707,20008
60.0,2018-01-01,786846.9524537202,779018.6580449224,794382.8708708985,20009
61.0,2018-02-01,791448.0707356805,783542.77751424,799822.3094321627,20009
62.0,2018-03-01,798743.8584497492,790538.2038400684,807856.2984529238,20009
63.0,2018-04-01,803367.3670846124,792792.1952819129,813994.1957498853,20009
64.0,2018-05-01,809417.3223539225,796458.8105856415,823250.867479232,20009
65.0,2018-06-01,813348.8760128027,798080.0008416339,832053.5866289064,20009
66.0,2018-07-01,817544.6544986108,797123.7776594814,838604.4912087985,20009
67.0,2018-08-01,822145.4698156724,798829.4756576287,848704.4140979421,20009
68.0,2018-09-01,827959.7543596914,798817.0098624498,858883.4948149045,20009
69.0,2018-10-01,832579.2587486879,799423.0849972736,871127.6412008323,20009
70.0,2018-11-01,838368.5992087629,797655.9695491875,883734.690755837,20009
71.0,2018-12-01,843200.3660094852,798051.143855168,892031.7161360707,20009
72.0,2018-01-01,786846.9524537202,779018.6580449224,794382.8708708985,20010
73.0,2018-02-01,791448.0707356805,783542.77751424,799822.3094321627,20010
74.0,2018-03-01,798743.8584497492,790538.2038400684,807856.2984529238,20010
75.0,2018-04-01,803367.3670846124,792792.1952819129,813994.1957498853,20010
76.0,2018-05-01,809417.3223539225,796458.8105856415,823250.867479232,20010
77.0,2018-06-01,813348.8760128027,798080.0008416339,832053.5866289064,20010
78.0,2018-07-01,817544.6544986108,797123.7776594814,838604.4912087985,20010
79.0,2018-08-01,822145.4698156724,798829.4756576287,848704.4140979421,20010
80.0,2018-09-01,827959.7543596914,798817.0098624498,858883.4948149045,20010
81.0,2018-10-01,832579.2587486879,799423.0849972736,871127.6412008323,20010
82.0,2018-11-01,838368.5992087629,797655.9695491875,883734.690755837,20010
83.0,2018-12-01,843200.3660094852,798051.143855168,892031.7161360707,20010
84.0,2018-01-01,786846.9524537202,779018.6580449224,794382.8708708985,20011
85.0,2018-02-01,791448.0707356805,783542.77751424,799822.3094321627,20011
86.0,2018-03-01,798743.8584497492,790538.2038400684,807856.2984529238,20011
87.0,2018-04-01,803367.3670846124,792792.1952819129,813994.1957498853,20011
88.0,2018-05-01,809417.3223539225,796458.8105856415,823250.867479232,20011
89.0,2018-06-01,813348.8760128027,798080.0008416339,832053.5866289064,20011
90.0,2018-07-01,817544.6544986108,797123.7776594814,838604.4912087985,20011
91.0,2018-08-01,822145.4698156724,798829.4756576287,848704.4140979421,20011
92.0,2018-09-01,827959.7543596914,798817.0098624498,858883.4948149045,20011
93.0,2018-10-01,832579.2587486879,799423.0849972736,871127.6412008323,20011
94.0,2018-11-01,838368.5992087629,797655.9695491875,883734.690755837,20011
95.0,2018-12-01,843200.3660094852,798051.143855168,892031.7161360707,20011
96.0,2018-01-01,786846.9524537202,779018.6580449224,794382.8708708985,20012
97.0,2018-02-01,791448.0707356805,783542.77751424,799822.3094321627,20012
98.0,2018-03-01,798743.8584497492,790538.2038400684,807856.2984529238,20012
99.0,2018-04-01,803367.3670846124,792792.1952819129,813994.1957498853,20012
100.0,2018-05-01,809417.3223539225,796458.8105856415,823250.867479232,20012
101.0,2018-06-01,813348.8760128027,798080.0008416339,832053.5866289064,20012
102.0,2018-07-01,817544.6544986108,797123.7776594814,838604.4912087985,20012
103.0,2018-08-01,822145.4698156724,798829.4756576287,848704.4140979421,20012
104.0,2018-09-01,827959.7543596914,798817.0098624498,858883.4948149045,20012
105.0,2018-10-01,832579.2587486879,799423.0849972736,871127.6412008323,20012
106.0,2018-11-01,838368.5992087629,797655.9695491875,883734.690755837,20012
107.0,2018-12-01,843200.3660094852,798051.143855168,892031.7161360707,20012
108.0,2018-01-01,786846.9524537202,779018.6580449224,794382.8708708985,20015
109.0,2018-02-01,791448.0707356805,783542.77751424,799822.3094321627,20015
110.0,2018-03-01,798743.8584497492,790538.2038400684,807856.2984529238,20015
111.0,2018-04-01,803367.3670846124,792792.1952819129,813994.1957498853,20015
112.0,2018-05-01,809417.3223539225,796458.8105856415,823250.867479232,20015
113.0,2018-06-01,813348.8760128027,798080.0008416339,832053.5866289064,20015
114.0,2018-07-01,817544.6544986108,797123.7776594814,838604.4912087985,20015
115.0,2018-08-01,822145.4698156724,798829.4756576287,848704.4140979421,20015
116.0,2018-09-01,827959.7543596914,798817.0098624498,858883.4948149045,20015
117.0,2018-10-01,832579.2587486879,799423.0849972736,871127.6412008323,20015
118.0,2018-11-01,838368.5992087629,797655.9695491875,883734.690755837,20015
119.0,2018-12-01,843200.3660094852,798051.143855168,892031.7161360707,20015
120.0,2018-01-01,786846.9524537202,779018.6580449224,794382.8708708985,20016
121.0,2018-02-01,791448.0707356805,783542.77751424,799822.3094321627,20016
122.0,2018-03-01,798743.8584497492,790538.2038400684,807856.2984529238,20016
123.0,2018-04-01,803367.3670846124,792792.1952819129,813994.1957498853,20016
124.0,2018-05-01,809417.3223539225,796458.8105856415,823250.867479232,20016
125.0,2018-06-01,813348.8760128027,798080.0008416339,832053.5866289064,20016
126.0,2018-07-01,817544.6544986108,797123.7776594814,838604.4912087985,20016
127.0,2018-08-01,822145.4698156724,798829.4756576287,848704.4140979421,20016
128.0,2018-09-01,827959.7543596914,798817.0098624498,858883.4948149045,20016
129.0,2018-10-01,832579.2587486879,799423.0849972736,871127.6412008323,20016
130.0,2018-11-01,838368.5992087629,797655.9695491875,883734.690755837,20016
131.0,2018-12-01,843200.3660094852,798051.143855168,892031.7161360707,20016
132.0,2018-01-01,786846.9524537202,779018.6580449224,794382.8708708985,20017
133.0,2018-02-01,791448.0707356805,783542.77751424,799822.3094321627,20017
134.0,2018-03-01,798743.8584497492,790538.2038400684,807856.2984529238,20017
135.0,2018-04-01,803367.3670846124,792792.1952819129,813994.1957498853,20017
136.0,2018-05-01,809417.3223539225,796458.8105856415,823250.867479232,20017
137.0,2018-06-01,813348.8760128027,798080.0008416339,832053.5866289064,20017
138.0,2018-07-01,817544.6544986108,797123.7776594814,838604.4912087985,20017
139.0,2018-08-01,822145.4698156724,798829.4756576287,848704.4140979421,20017
140.0,2018-09-01,827959.7543596914,798817.0098624498,858883.4948149045,20017
141.0,2018-10-01,832579.2587486879,799423.0849972736,871127.6412008323,20017
142.0,2018-11-01,838368.5992087629,797655.9695491875,883734.690755837,20017
143.0,2018-12-01,843200.3660094852,798051.143855168,892031.7161360707,20017
144.0,2018-01-01,786846.9524537202,779018.6580449224,794382.8708708985,20018
145.0,2018-02-01,791448.0707356805,783542.77751424,799822.3094321627,20018
