ZIP CODE,STATE,MSA No.,GPCI,GPCI,GPCI,County No.,MSA Name
76443,TX,10180,1.000,0.943,0.936,059,Abilene
76469,TX,10180,1.000,0.943,0.936,059,Abilene
79501,TX,10180,1.000,0.943,0.936,253,Abilene
79503,TX,10180,1.000,0.943,0.936,253,Abilene
79504,TX,10180,1.000,0.943,0.936,059,Abilene
79508,TX,10180,1.000,0.943,0.936,441,Abilene
79510,TX,10180,1.000,0.943,0.936,059,Abilene
79520,TX,10180,1.000,0.943,0.936,253,Abilene
79525,TX,10180,1.000,0.943,0.936,253,Abilene
79530,TX,10180,1.000,0.943,0.936,441,Abilene
79533,TX,10180,1.000,0.943,0.936,253,Abilene
79536,TX,10180,1.000,0.943,0.936,441,Abilene
79541,TX,10180,1.000,0.943,0.936,441,Abilene
79553,TX,10180,1.000,0.943,0.936,253,Abilene
79561,TX,10180,1.000,0.943,0.936,441,Abilene
79562,TX,10180,1.000,0.943,0.936,441,Abilene
79563,TX,10180,1.000,0.943,0.936,441,Abilene
79601,TX,10180,1.000,0.943,0.936,441,Abilene
79602,TX,10180,1.000,0.943,0.936,441,Abilene
79603,TX,10180,1.000,0.943,0.936,441,Abilene
79604,TX,10180,1.000,0.943,0.936,441,Abilene
79605,TX,10180,1.000,0.943,0.936,441,Abilene
79606,TX,10180,1.000,0.943,0.936,441,Abilene
79607,TX,10180,1.000,0.943,0.936,441,Abilene
79608,TX,10180,1.000,0.943,0.936,441,Abilene
79697,TX,10180,1.000,0.943,0.936,441,Abilene
79698,TX,10180,1.000,0.943,0.936,441,Abilene
79699,TX,10180,1.000,0.943,0.936,441,Abilene
00602,PR,10380,1.000,0.845,0.249,003,Aguadilla-Isabela-San Sebastian
00603,PR,10380,1.000,0.845,0.249,005,Aguadilla-Isabela-San Sebastian
00604,PR,10380,1.000,0.845,0.249,005,Aguadilla-Isabela-San Sebastian
00605,PR,10380,1.000,0.845,0.249,005,Aguadilla-Isabela-San Sebastian
00610,PR,10380,1.000,0.845,0.249,011,Aguadilla-Isabela-San Sebastian
00631,PR,10380,1.000,0.845,0.249,081,Aguadilla-Isabela-San Sebastian
00662,PR,10380,1.000,0.845,0.249,071,Aguadilla-Isabela-San Sebastian
00669,PR,10380,1.000,0.845,0.249,081,Aguadilla-Isabela-San Sebastian
00676,PR,10380,1.000,0.845,0.249,099,Aguadilla-Isabela-San Sebastian
00677,PR,10380,1.000,0.845,0.249,117,Aguadilla-Isabela-San Sebastian
00685,PR,10380,1.000,0.845,0.249,131,Aguadilla-Isabela-San Sebastian
00690,PR,10380,1.000,0.845,0.249,005,Aguadilla-Isabela-San Sebastian
99545,AK,99002,1.670,1.670,1.670,016,AK NONMETROPOLITAN AREA
99546,AK,99002,1.670,1.670,1.670,016,AK NONMETROPOLITAN AREA
99547,AK,99002,1.670,1.670,1.670,016,AK NONMETROPOLITAN AREA
99548,AK,99002,1.670,1.670,1.670,164,AK NONMETROPOLITAN AREA
99549,AK,99002,1.670,1.670,1.670,164,AK NONMETROPOLITAN AREA
99550,AK,99002,1.670,1.670,1.670,150,AK NONMETROPOLITAN AREA
99551,AK,99002,1.670,1.670,1.670,050,AK NONMETROPOLITAN AREA
99552,AK,99002,1.670,1.670,1.670,050,AK NONMETROPOLITAN AREA
99553,AK,99002,1.670,1.670,1.670,013,AK NONMETROPOLITAN AREA
99554,AK,99002,1.670,1.670,1.670,270,AK NONMETROPOLITAN AREA
99555,AK,99002,1.670,1.670,1.670,070,AK NONMETROPOLITAN AREA
99556,AK,99002,1.670,1.670,1.670,122,AK NONMETROPOLITAN AREA
99557,AK,99002,1.670,1.670,1.670,050,AK NONMETROPOLITAN AREA
99558,AK,99002,1.670,1.670,1.670,290,AK NONMETROPOLITAN AREA
99559,AK,99002,1.670,1.670,1.670,050,AK NONMETROPOLITAN AREA
99561,AK,99002,1.670,1.670,1.670,050,AK NONMETROPOLITAN AREA
99563,AK,99002,1.670,1.670,1.670,270,AK NONMETROPOLITAN AREA
99564,AK,99002,1.670,1.670,1.670,164,AK NONMETROPOLITAN AREA
99565,AK,99002,1.670,1.670,1.670,164,AK NONMETROPOLITAN AREA
99566,AK,99002,1.670,1.670,1.670,261,AK NONMETROPOLITAN AREA
99568,AK,99002,1.670,1.670,1.670,122,AK NONMETROPOLITAN AREA
99569,AK,99002,1.670,1.670,1.670,070,AK NONMETROPOLITAN AREA
99571,AK,99002,1.670,1.670,1.670,013,AK NONMETROPOLITAN AREA
99572,AK,99002,1.670,1.670,1.670,122,AK NONMETROPOLITAN AREA
99573,AK,99002,1.670,1.670,1.670,261,AK NONMETROPOLITAN AREA
99574,AK,99002,1.670,1.670,1.670,261,AK NONMETROPOLITAN AREA
99575,AK,99002,1.670,1.670,1.670,050,AK NONMETROPOLITAN AREA
99576,AK,99002,1.670,1.670,1.670,070,AK NONMETROPOLITAN AREA
99578,AK,99002,1.670,1.670,1.670,050,AK NONMETROPOLITAN AREA
99579,AK,99002,1.670,1.670,1.670,164,AK NONMETROPOLITAN AREA
99580,AK,99002,1.670,1.670,1.670,070,AK NONMETROPOLITAN AREA
99581,AK,99002,1.670,1.670,1.670,270,AK NONMETROPOLITAN AREA
99583,AK,99002,1.670,1.670,1.670,013,AK NONMETROPOLITAN AREA
99584,AK,99002,1.670,1.670,1.670,290,AK NONMETROPOLITAN AREA
99585,AK,99002,1.670,1.670,1.670,270,AK NONMETROPOLITAN AREA
99586,AK,99002,1.670,1.670,1.670,261,AK NONMETROPOLITAN AREA
99588,AK,99002,1.670,1.670,1.670,261,AK NONMETROPOLITAN AREA
99589,AK,99002,1.670,1.670,1.670,050,AK NONMETROPOLITAN AREA
99590,AK,99002,1.670,1.670,1.670,290,AK NONMETROPOLITAN AREA
99591,AK,99002,1.670,1.670,1.670,016,AK NONMETROPOLITAN AREA
99602,AK,99002,1.670,1.670,1.670,290,AK NONMETROPOLITAN AREA
99603,AK,99002,1.670,1.670,1.670,122,AK NONMETROPOLITAN AREA
99604,AK,99002,1.670,1.670,1.670,270,AK NONMETROPOLITAN AREA
99605,AK,99002,1.670,1.670,1.670,122,AK NONMETROPOLITAN AREA
99606,AK,99002,1.670,1.670,1.670,164,AK NONMETROPOLITAN AREA
99607,AK,99002,1.670,1.670,1.670,050,AK NONMETROPOLITAN AREA
99608,AK,99002,1.670,1.670,1.670,150,AK NONMETROPOLITAN AREA
99609,AK,99002,1.670,1.670,1.670,050,AK NONMETROPOLITAN AREA
99610,AK,99002,1.670,1.670,1.670,122,AK NONMETROPOLITAN AREA
99611,AK,99002,1.670,1.670,1.670,122,AK NONMETROPOLITAN AREA
99612,AK,99002,1.670,1.670,1.670,013,AK NONMETROPOLITAN AREA
99613,AK,99002,1.670,1.670,1.670,060,AK NONMETROPOLITAN AREA
99614,AK,99002,1.670,1.670,1.670,050,AK NONMETROPOLITAN AREA
99615,AK,99002,1.670,1.670,1.670,150,AK NONMETROPOLITAN AREA
99619,AK,99002,1.670,1.670,1.670,150,AK NONMETROPOLITAN AREA
99620,AK,99002,1.670,1.670,1.670,270,AK NONMETROPOLITAN AREA
99621,AK,99002,1.670,1.670,1.670,050,AK NONMETROPOLITAN AREA
99622,AK,99002,1.670,1.670,1.670,050,AK NONMETROPOLITAN AREA
99623,AK,99002,1.670,1.670,1.670,050,AK NONMETROPOLITAN AREA
99624,AK,99002,1.670,1.670,1.670,150,AK NONMETROPOLITAN AREA
99625,AK,99002,1.670,1.670,1.670,164,AK NONMETROPOLITAN AREA
99626,AK,99002,1.670,1.670,1.670,050,AK NONMETROPOLITAN AREA
99627,AK,99002,1.670,1.670,1.670,290,AK NONMETROPOLITAN AREA
99628,AK,99002,1.670,1.670,1.670,070,AK NONMETROPOLITAN AREA
99629,AK,99002,1.670,1.670,1.670,070,AK NONMETROPOLITAN AREA
99630,AK,99002,1.670,1.670,1.670,050,AK NONMETROPOLITAN AREA
99631,AK,99002,1.670,1.670,1.670,122,AK NONMETROPOLITAN AREA
99632,AK,99002,1.670,1.670,1.670,270,AK NONMETROPOLITAN AREA
99633,AK,99002,1.670,1.670,1.670,060,AK NONMETROPOLITAN AREA
99634,AK,99002,1.670,1.670,1.670,050,AK NONMETROPOLITAN AREA
99635,AK,99002,1.670,1.670,1.670,122,AK NONMETROPOLITAN AREA
99636,AK,99002,1.670,1.670,1.670,070,AK NONMETROPOLITAN AREA
99637,AK,99002,1.670,1.670,1.670,050,AK NONMETROPOLITAN AREA
99638,AK,99002,1.670,1.670,1.670,016,AK NONMETROPOLITAN AREA
99639,AK,99002,1.670,1.670,1.670,122,AK NONMETROPOLITAN AREA
99640,AK,99002,1.670,1.670,1.670,164,AK NONMETROPOLITAN AREA
99641,AK,99002,1.670,1.670,1.670,050,AK NONMETROPOLITAN AREA
99643,AK,99002,1.670,1.670,1.670,150,AK NONMETROPOLITAN AREA
99644,AK,99002,1.670,1.670,1.670,150,AK NONMETROPOLITAN AREA
99647,AK,99002,1.670,1.670,1.670,164,AK NONMETROPOLITAN AREA
99648,AK,99002,1.670,1.670,1.670,164,AK NONMETROPOLITAN AREA
99649,AK,99002,1.670,1.670,1.670,164,AK NONMETROPOLITAN AREA
99650,AK,99002,1.670,1.670,1.670,270,AK NONMETROPOLITAN AREA
99651,AK,99002,1.670,1.670,1.670,050,AK NONMETROPOLITAN AREA
99653,AK,99002,1.670,1.670,1.670,164,AK NONMETROPOLITAN AREA
99655,AK,99002,1.670,1.670,1.670,050,AK NONMETROPOLITAN AREA
99656,AK,99002,1.670,1.670,1.670,050,AK NONMETROPOLITAN AREA
99657,AK,99002,1.670,1.670,1.670,270,AK NONMETROPOLITAN AREA
99658,AK,99002,1.670,1.670,1.670,270,AK NONMETROPOLITAN AREA
99659,AK,99002,1.670,1.670,1.670,180,AK NONMETROPOLITAN AREA
99660,AK,99002,1.670,1.670,1.670,016,AK NONMETROPOLITAN AREA
99661,AK,99002,1.670,1.670,1.670,013,AK NONMETROPOLITAN AREA
99662,AK,99002,1.670,1.670,1.670,270,AK NONMETROPOLITAN AREA
99663,AK,99002,1.670,1.670,1.670,122,AK NONMETROPOLITAN AREA
99664,AK,99002,1.670,1.670,1.670,122,AK NONMETROPOLITAN AREA
99665,AK,99002,1.670,1.670,1.670,290,AK NONMETROPOLITAN AREA
99666,AK,99002,1.670,1.670,1.670,270,AK NONMETROPOLITAN AREA
99668,AK,99002,1.670,1.670,1.670,050,AK NONMETROPOLITAN AREA
99669,AK,99002,1.670,1.670,1.670,122,AK NONMETROPOLITAN AREA
99670,AK,99002,1.670,1.670,1.670,060,AK NONMETROPOLITAN AREA
99671,AK,99002,1.670,1.670,1.670,180,AK NONMETROPOLITAN AREA
99672,AK,99002,1.670,1.670,1.670,122,AK NONMETROPOLITAN AREA
99675,AK,99002,1.670,1.670,1.670,290,AK NONMETROPOLITAN AREA
