ds,yhat,yhat_lower,yhat_upper,zipcode
2018-01-01,786846.9524537202,778704.7783387817,794782.283280874,20001
2018-02-01,791448.0707356804,783268.4146520465,799790.2229404444,20001
2018-03-01,798743.8584497492,789018.2932970765,808285.6707683848,20001
2018-04-01,803367.3670846123,791876.8245752483,813578.3421242672,20001
2018-05-01,809417.3223539225,797224.9194363714,821991.0476963451,20001
2018-06-01,813348.8760128026,795303.5321054817,831290.7185531828,20001
2018-07-01,817544.6544986108,797265.3808904797,838549.500712569,20001
2018-08-01,822145.4698156724,797461.9003535104,848519.0807127523,20001
2018-09-01,827959.7543596914,799707.8665415065,857480.4386937387,20001
2018-10-01,832579.258748688,799474.9846191719,868503.843683314,20001
2018-11-01,838368.5992087628,800682.2029090303,877897.6409973588,20001
2018-12-01,843200.3660094852,801372.4001827445,887788.9813964127,20001
2018-01-01,683876.8010453077,678097.4115170833,689723.7769182862,20002
2018-02-01,688317.5949872694,682175.2594642191,694042.1396961908,20002
2018-03-01,694267.002730769,688236.7296636596,700888.76788878,20002
2018-04-01,698314.2619580954,691675.445353777,705846.691818285,20002
2018-05-01,703118.9693013832,695075.6587144067,712715.6743878734,20002
2018-06-01,707047.7543800257,697014.523570828,719419.3094364168,20002
2018-07-01,711418.6061412852,699329.0353328773,725330.9192956999,20002
2018-08-01,715666.5851421003,700420.2666686331,734962.5800825574,20002
2018-09-01,720272.2368542644,703740.7926881404,741748.2221075336,20002
2018-10-01,724380.584579924,703345.747857345,749825.0905510576,20002
2018-11-01,729309.507354514,704808.0104164614,757698.4061252355,20002
2018-12-01,733703.5004059672,705838.9473793998,766257.2986712321,20002
2018-01-01,820871.5901304488,815415.8016411979,826003.7931681424,20003
2018-02-01,823323.9405678277,817811.8832468964,829370.6889714897,20003
2018-03-01,827562.6065748226,821079.8956670618,835486.1162893474,20003
2018-04-01,830032.7621708739,821325.8167171587,841918.7118309857,20003
2018-05-01,833830.842260671,820945.296923262,849410.7002512619,20003
2018-06-01,836309.9009086651,819576.9049050062,856379.752070917,20003
2018-07-01,839583.7787129647,818176.1862900152,863674.9431959526,20003
2018-08-01,842407.9572499319,815995.7918895667,870566.8982228771,20003
2018-09-01,845173.2907137574,812665.7896187216,875538.7208630921,20003
2018-10-01,847828.4000871058,808448.3222723312,883470.3810013096,20003
2018-11-01,850548.8733626831,806770.2029074158,892865.685829731,20003
2018-12-01,853270.1638665092,800605.3279812343,903578.6749502313,20003
2018-01-01,1331636.6455470242,1314182.143839052,1348019.649306455,20007
2018-02-01,1331202.3892477774,1314337.5572060433,1349468.4527475357,20007
2018-03-01,1346857.9287015442,1328787.0370802805,1365715.089617136,20007
2018-04-01,1345237.5103193985,1325948.2045523645,1365917.3068484808,20007
2018-05-01,1351258.95906945,1328641.576439214,1375999.868193742,20007
2018-06-01,1350834.0567950597,1322575.6233177593,1383727.7679592832,20007
2018-07-01,1356496.4898464656,1323518.501110984,1395754.4988135563,20007
2018-08-01,1355927.5592875544,1316190.1522287861,1397689.965719207,20007
2018-09-01,1357414.5171734,1312787.8762512119,1407046.1898619768,20007
2018-10-01,1361875.3581303647,1308735.9353166202,1421398.17053865,20007
2018-11-01,1362854.7108765063,1301427.8897341772,1429097.7412780726,20007
2018-12-01,1366601.5316878117,1299873.3444449897,1438805.977637799,20007
2018-01-01,1539649.8833968914,1520856.4610997152,1559317.418118717,20008
2018-02-01,1546214.2393107067,1526977.718199636,1568022.144406007,20008
2018-03-01,1546106.290034574,1524420.6569746314,1569088.7767347768,20008
2018-04-01,1553614.0719211756,1531198.7700397968,1576442.8414784162,20008
2018-05-01,1558053.8193727238,1531208.5792588538,1584283.788993977,20008
2018-06-01,1564418.762804655,1530380.1724036566,1598677.4757235078,20008
2018-07-01,1569846.2616647368,1530921.108230431,1614264.4965200233,20008
2018-08-01,1578066.0953672016,1527230.465923841,1631709.5369289762,20008
2018-09-01,1584521.6118992965,1527125.1140825027,1651327.330382515,20008
2018-10-01,1587042.3038039706,1512771.6194414163,1666888.5758968773,20008
2018-11-01,1591989.9168518886,1506858.140185967,1685384.208307518,20008
2018-12-01,1596724.1762736253,1503768.3671920858,1708347.919081516,20008
2018-01-01,1051495.4815790243,1041361.5497678762,1060814.1792718845,20009
2018-02-01,1059060.6760327823,1049078.51004203,1069673.6136117035,20009
2018-03-01,1059841.4931119815,1048677.5894877703,1071091.9317023994,20009
2018-04-01,1068322.1249317431,1055154.6511002837,1080535.4620109343,20009
2018-05-01,1073430.0906689495,1056461.3021557766,1087997.7178087712,20009
2018-06-01,1080625.6765008287,1060871.7207487267,1098939.4142262936,20009
2018-07-01,1085109.45258846,1060081.2565972125,1109482.8521962499,20009
2018-08-01,1092361.3259729773,1058410.656209206,1124109.8913721095,20009
2018-09-01,1098570.0123195213,1060106.9520215634,1134953.9537058456,20009
2018-10-01,1103190.2687563524,1058028.833353348,1149745.123641752,20009
2018-11-01,1109566.6251103273,1055800.4489944638,1162984.6383925243,20009
2018-12-01,1114781.9368655514,1057927.5328392019,1176044.5261124177,20009
2018-01-01,758896.2619386732,748514.5369903421,769396.2358307296,20010
2018-02-01,764539.0885277262,755187.9184031527,775281.212303294,20010
2018-03-01,768348.4663743599,757361.4396141055,780358.0181064673,20010
2018-04-01,773207.7831310541,758954.4103920159,786927.7550813478,20010
2018-05-01,777896.2347994472,762525.2161427299,794047.9633513994,20010
2018-06-01,783126.5647990624,763063.644167263,802399.3648874344,20010
2018-07-01,786921.4439479051,764978.3479331562,810084.9747945652,20010
2018-08-01,793357.5983229422,764768.9615594476,822072.401032434,20010
2018-09-01,800340.032374283,769489.1417788154,835102.4526738613,20010
2018-10-01,804740.6404351817,769766.3112437841,843837.245780588,20010
2018-11-01,812038.1041905883,770830.7704540209,859643.7474782192,20010
2018-12-01,816368.218694521,770508.3115077041,867845.6041846871,20010
2018-01-01,615014.7278818404,607244.099425869,623151.6657491124,20011
