Conference,School,HomeW,HomeL,ConfW,ConfL,PF,PA
Atlantic Coast Conference,Clemson,8,0,15,0,664,197
Atlantic Coast Conference,Syracuse,6,2,10,3,523,351
Atlantic Coast Conference,North Carolina State,5,3,9,4,440,324
Atlantic Coast Conference,Boston College,4,4,7,5,384,308
Atlantic Coast Conference,Wake Forest,3,5,7,6,427,433
Atlantic Coast Conference,Florida State,3,5,5,7,263,378
Atlantic Coast Conference,Louisville,0,8,2,10,237,529
Atlantic Coast Conference,Pittsburgh,6,2,7,7,359,389
Atlantic Coast Conference,Georgia Tech,5,3,7,6,437,381
Atlantic Coast Conference,Virginia,4,4,8,5,370,261
Atlantic Coast Conference,Miami (FL),4,4,7,6,374,253
Atlantic Coast Conference,Virginia Tech,4,4,6,7,388,403
Atlantic Coast Conference,Duke,3,5,8,5,382,356
Atlantic Coast Conference,North Carolina,1,7,2,9,301,380
American Athletic Conference,UCF,8,0,12,1,562,295
American Athletic Conference,Temple,7,1,8,5,454,352
American Athletic Conference,Cincinnati,6,2,11,2,454,224
American Athletic Conference,South Florida,3,5,7,6,370,416
American Athletic Conference,East Carolina,1,7,3,9,273,448
American Athletic Conference,Connecticut,0,8,1,11,266,605
American Athletic Conference,Houston,5,3,8,5,571,483
American Athletic Conference,Memphis,5,3,8,6,601,447
American Athletic Conference,Tulane,5,3,7,6,349,358
American Athletic Conference,Southern Methodist,4,4,5,7,365,423
American Athletic Conference,Tulsa,2,6,3,9,289,355
American Athletic Conference,Navy,2,6,3,10,325,436
Big 12,Oklahoma,8,1,12,2,677,466
Big 12,Texas,7,2,10,4,435,362
Big 12,West Virginia,6,3,8,4,483,326
Big 12,Iowa State,6,3,8,5,348,298
Big 12,Baylor,4,5,7,6,384,412
Big 12,TCU,4,5,7,6,306,300
Big 12,Oklahoma State,3,6,7,6,499,422
Big 12,Kansas State,3,6,5,7,270,305
Big 12,Texas Tech,3,6,5,7,448,373
Big 12,Kansas,1,8,3,9,286,360
Big 10,Ohio State,8,1,13,1,593,357
Big 10,Michigan,8,1,10,3,457,252
Big 10,Penn State,6,3,9,4,439,267
Big 10,Michigan State,5,4,7,6,243,223
Big 10,Maryland,3,6,5,7,342,344
Big 10,Indiana,2,7,5,7,317,359
Big 10,Rutgers,0,9,1,11,162,377
Big 10,Northwestern,8,1,9,5,339,325
Big 10,Iowa,5,4,9,4,405,231
Big 10,Wisconsin,5,4,8,5,386,294
Big 10,Purdue,5,4,6,7,397,390
Big 10,Minnesota,3,6,7,6,376,345
Big 10,Nebraska,3,6,4,8,360,375
Big 10,Illinois,2,7,4,8,312,473
Conference USA,UAB,7,1,11,3,418,238
Conference USA,North Texas,5,3,9,4,450,314
Conference USA,Louisiana Tech,5,3,8,5,321,299
Conference USA,Southern Miss,5,3,6,5,288,218
Conference USA,UTSA,2,6,3,9,170,374
Conference USA,Rice,1,7,2,11,246,468
Conference USA,UTEP,1,7,1,11,212,393
Conference USA,Middle Tennessee,7,1,8,6,392,374
Conference USA,Florida International,6,2,9,4,450,328
Conference USA,Marshall,6,2,9,4,367,284
Conference USA,Charlotte,4,4,5,7,260,319
Conference USA,Florida Atlantic,3,5,5,7,373,381
Conference USA,Old Dominion,2,6,4,8,370,431
Conference USA,Western Kentucky,2,6,3,9,253,334
Independents,Notre Dame,0,0,12,1,408,237
Independents,Army,0,0,11,2,426,230
Independents,Brigham Young,0,0,7,6,354,278
Independents,Liberty,0,0,6,6,399,442
Independents,Massachusetts,0,0,4,8,394,515
Independents,New Mexico State,0,0,3,9,303,496
Mid-American Conference,Buffalo,7,1,10,4,484,363
Mid-American Conference,Ohio,6,2,9,4,521,320
Mid-American Conference,Miami (OH),6,2,6,6,337,306
Mid-American Conference,Akron,2,6,4,8,227,326
Mid-American Conference,Bowling Green,2,6,3,9,292,480
Mid-American Conference,Kent State,1,7,2,10,287,440
Mid-American Conference,Northern Illinois,6,2,8,6,282,317
Mid-American Conference,Eastern Michigan,5,3,7,6,351,287
Mid-American Conference,Toledo,5,3,7,6,525,397
Mid-American Conference,Western Michigan,5,3,7,6,416,449
Mid-American Conference,Ball State,3,5,4,8,290,389
Mid-American Conference,Central Michigan,0,8,1,11,180,328
Mountain West,Fresno State,7,1,12,2,485,198
Mountain West,Nevada,5,3,8,5,404,350
Mountain West,Hawaii,5,3,8,6,431,491
Mountain West,San Diego State,4,4,7,6,268,288
Mountain West,UNLV,2,6,4,8,345,447
