Cohort Year,Year,School,Conference,Sport,State,GSR,FGR,,
2011,2017-2018,Abilene Christian University,Southland Conference,Football,TX,61,41,,
2011,2017-2018,University of Akron,Mid-American Conference,Football,OH,72,61,,
2011,2017-2018,Alabama A&M University,Southwestern Athletic Conf.,Football,AL,62,47,,
2011,2017-2018,Alabama State University,Southwestern Athletic Conf.,Football,AL,58,42,,
2011,2017-2018,University of Alabama,Southeastern Conference,Football,AL,84,63,,
2011,2017-2018,University of Alabama at Birmingham,Conference USA,Football,AL,71,58,,
2011,2017-2018,University at Albany,Colonial Athletic Association,Football,NY,90,67,,
2011,2017-2018,Alcorn State University,Southwestern Athletic Conf.,Football,MS,67,44,,
2011,2017-2018,Appalachian State University,Sun Belt Conference,Football,NC,71,67,,
2011,2017-2018,Arizona State University,Pac-12 Conference,Football,AZ,73,61,,
2011,2017-2018,University of Arizona,Pac-12 Conference,Football,AZ,76,63,,
2011,2017-2018,Arkansas State University,Sun Belt Conference,Football,AR,83,68,,
2011,2017-2018,"University of Arkansas, Fayetteville",Southeastern Conference,Football,AR,56,42,,
2011,2017-2018,Auburn University,Southeastern Conference,Football,AL,72,60,,
2011,2017-2018,Austin Peay State University,Ohio Valley Conference,Football,TN,71,66,,
2011,2017-2018,Ball State University,Mid-American Conference,Football,IN,70,60,,
2011,2017-2018,Charleston Southern University,Big South Conference,Football,SC,61,41,,
2011,2017-2018,Baylor University,Big 12 Conference,Football,TX,87,66,,
2011,2017-2018,Bethune-Cookman University,Mid-Eastern Athletic Conf.,Football,FL,61,51,,
2011,2017-2018,Boise State University,Mountain West Conference,Football,ID,89,69,,
2011,2017-2018,Boston College,Atlantic Coast Conference,Football,MA,88,76,,
2011,2017-2018,Bowling Green State University,Mid-American Conference,Football,OH,82,68,,
2011,2017-2018,Brigham Young University,Independent,Football,UT,58,47,,
2011,2017-2018,Brown University,The Ivy League,Football,RI,98,,,
2011,2017-2018,Bryant University,Northeast Conference,Football,RI,91,74,,
2011,2017-2018,Bucknell University,Patriot League,Football,PA,91,83,,
2011,2017-2018,"University at Buffalo, the State University of New York",Mid-American Conference,Football,NY,70,56,,
2011,2017-2018,Butler University,Pioneer Football League,Football,IN,85,,,
2011,2017-2018,California Polytechnic State University,Big Sky Conference,Football,CA,70,69,,
2011,2017-2018,"California State University, Fresno",Mountain West Conference,Football,CA,76,69,,
2011,2017-2018,"California State University, Sacramento",Big Sky Conference,Football,CA,61,38,,
2011,2017-2018,"University of California, Berkeley",Pac-12 Conference,Football,CA,64,52,,
2011,2017-2018,"University of California, Davis",Big Sky Conference,Football,CA,82,81,,
2011,2017-2018,"University of California, Los Angeles",Pac-12 Conference,Football,CA,84,66,,
2011,2017-2018,Campbell University,Pioneer Football League,Football,NC,82,70,,
2011,2017-2018,Central Connecticut State University,Northeast Conference,Football,CT,62,47,,
2011,2017-2018,University of Central Florida,American Athletic Conference,Football,FL,87,63,,
2011,2017-2018,Central Michigan University,Mid-American Conference,Football,MI,71,58,,
2011,2017-2018,University of Cincinnati,American Athletic Conference,Football,OH,82,65,,
2011,2017-2018,The Citadel,Southern Conference,Football,SC,82,67,,
2011,2017-2018,Clemson University,Atlantic Coast Conference,Football,SC,87,70,,
2011,2017-2018,Coastal Carolina University,Sun Belt Conference,Football,SC,73,58,,
2011,2017-2018,Colgate University,Patriot League,Football,NY,89,79,,
2011,2017-2018,Colorado State University,Mountain West Conference,Football,CO,73,61,,
2011,2017-2018,"University of Colorado, Boulder",Pac-12 Conference,Football,CO,85,63,,
2011,2017-2018,Columbia University-Barnard College,The Ivy League,Football,NY,98,,,
2011,2017-2018,University of Connecticut,American Athletic Conference,Football,CT,79,68,,
2011,2017-2018,Cornell University,The Ivy League,Football,NY,96,,,
2011,2017-2018,Dartmouth College,The Ivy League,Football,NH,100,,,
2011,2017-2018,Davidson College,Pioneer Football League,Football,NC,93,,,
2011,2017-2018,University of Dayton,Pioneer Football League,Football,OH,93,100,,
2011,2017-2018,Delaware State University,Mid-Eastern Athletic Conf.,Football,DE,70,53,,
2011,2017-2018,University of Delaware,Colonial Athletic Association,Football,DE,79,74,,
2011,2017-2018,Drake University,Pioneer Football League,Football,IA,89,100,,
2011,2017-2018,Duke University,Atlantic Coast Conference,Football,NC,96,89,,
2011,2017-2018,Duquesne University,Northeast Conference,Football,PA,78,64,,
2011,2017-2018,East Carolina University,American Athletic Conference,Football,NC,72,67,,
2011,2017-2018,Eastern Illinois University,Ohio Valley Conference,Football,IL,72,58,,
2011,2017-2018,Eastern Kentucky University,Ohio Valley Conference,Football,KY,77,54,,
2011,2017-2018,Eastern Michigan University,Mid-American Conference,Football,MI,67,42,,
2011,2017-2018,Eastern Washington University,Big Sky Conference,Football,WA,75,68,,
2011,2017-2018,Florida A&M University,Mid-Eastern Athletic Conf.,Football,FL,55,41,,
2011,2017-2018,Florida Atlantic University,Conference USA,Football,FL,69,58,,
2011,2017-2018,Florida International University,Conference USA,Football,FL,70,60,,
2011,2017-2018,Florida State University,Atlantic Coast Conference,Football,FL,65,52,,
2011,2017-2018,University of Florida,Southeastern Conference,Football,FL,74,42,,
2011,2017-2018,Fordham University,Patriot League,Football,NY,88,82,,
2011,2017-2018,Furman University,Southern Conference,Football,SC,80,73,,
2011,2017-2018,Georgetown University,Patriot League,Football,DC,92,81,,
2011,2017-2018,Georgia Southern University,Sun Belt Conference,Football,GA,62,50,,
2011,2017-2018,Georgia State University,Sun Belt Conference,Football,GA,60,71,,
2011,2017-2018,Georgia Institute of Technology,Atlantic Coast Conference,Football,GA,86,73,,
2011,2017-2018,University of Georgia,Southeastern Conference,Football,GA,58,42,,
2011,2017-2018,Grambling State University,Southwestern Athletic Conf.,Football,LA,62,62,,
2011,2017-2018,Hampton University,Mid-Eastern Athletic Conf.,Football,VA,75,54,,
2011,2017-2018,Harvard University,The Ivy League,Football,MA,100,100,,
2011,2017-2018,"University of Hawaii, Manoa",Mountain West Conference,Football,HI,79,56,,
2011,2017-2018,College of the Holy Cross,Patriot League,Football,MA,96,84,,
2011,2017-2018,University of Houston,American Athletic Conference,Football,TX,65,60,,
2011,2017-2018,Howard University,Mid-Eastern Athletic Conf.,Football,DC,73,64,,
2011,2017-2018,Idaho State University,Big Sky Conference,Football,ID,83,53,,
2011,2017-2018,University of Idaho,Sun Belt Conference,Football,ID,52,32,,
2011,2017-2018,Illinois State University,Missouri Valley Football Conference,Football,IL,73,50,,
2011,2017-2018,University of Illinois Urbana-Champaign,Big Ten Conference,Football,IL,81,65,,
2011,2017-2018,Indiana State University,Missouri Valley Football Conference,Football,IN,68,54,,
2011,2017-2018,"Indiana University, Bloomington",Big Ten Conference,Football,IN,83,68,,
2011,2017-2018,Iowa State University,Big 12 Conference,Football,IA,82,62,,
2011,2017-2018,University of Iowa,Big Ten Conference,Football,IA,80,64,,
