"disbursement_date","disbursement_amount","disbursements"
2018-01-02,20083.8,6
2018-01-03,33903,13
2018-01-04,25543.4,9
2018-01-05,24190.3,8
2018-01-08,85065,25
2018-01-09,35891.2,11
2018-01-10,50344.9,13
2018-01-11,7065.8,4
2018-01-12,17701.5,6
2018-01-15,38596.2,7
2018-01-16,14354,3
2018-01-17,20518.6,4
2018-01-18,34248.7,6
2018-01-19,8988.8,3
2018-01-22,44208,8
2018-01-23,38831.3,7
2018-01-24,6206.5,3
2018-01-25,17554.6,6
2018-01-26,13395,3
2018-01-29,60962.6,14
2018-01-30,12166.4,6
2018-01-31,19331,6
2018-02-01,57562.3,14
2018-02-02,30749.3,9
2018-02-05,99757,14
2018-02-06,32696.2,9
2018-02-07,33460.5,6
2018-02-08,37443.4,9
2018-02-09,2559,1
2018-02-12,77581.2,18
2018-02-13,32414.2,9
2018-02-14,12983.5,4
2018-02-15,11530.7,5
2018-02-16,17696.2,7
2018-02-19,14477.9,6
2018-02-20,35843.7,10
2018-02-21,8771.4,3
2018-02-22,17907.4,6
2018-02-23,22389.7,5
2018-02-26,16072.3,6
2018-02-27,132058.5,21
2018-02-28,45832.8,14
2018-03-01,45838.4,12
2018-03-02,7836.3,4
2018-03-05,24519.5,8
2018-03-06,36438.4,11
2018-03-07,19513.3,6
2018-03-08,24579.1,10
2018-03-09,17989.7,5
2018-03-12,18908,8
2018-03-13,39461.4,10
2018-03-14,24619.8,7
2018-03-15,14496.56,6
2018-03-16,27188.88,8
2018-03-19,17048.4,5
2018-03-20,35976.8,8
2018-03-21,17183.8,6
2018-03-22,7123.22,3
2018-03-23,8377.6,4
2018-03-26,50281.2,18
2018-03-27,79064.4,20
2018-03-28,264875,17
2018-04-02,37493,18
2018-04-03,52455.5,10
2018-04-04,32514.8,12
2018-04-05,29708.3,10
2018-04-06,34826.9,13
2018-04-09,75250.8,15
2018-04-10,58974.7,14
2018-04-11,33244.9,13
2018-04-12,26097.4,11
2018-04-16,51444.9,14
2018-04-17,34109.8,14
2018-04-18,54779.4,11
2018-04-19,27315.4,13
2018-04-20,62685.6,12
2018-04-23,52685.9,13
2018-04-24,67451.4,16
2018-04-25,29278.8,9
2018-04-26,44762,12
2018-04-27,34843.7,10
2018-04-30,59745.5,16
2018-05-02,30044.3,13
2018-05-03,54185,10
2018-05-04,50698.9,20
2018-05-07,51586.2,14
2018-05-08,50085.9,13
2018-05-09,34497.1,13
2018-05-10,35356.1,12
2018-05-11,30937.2,8
2018-05-14,45420.7,12
2018-05-15,9989.7,6
2018-05-16,44485.3,11
2018-05-17,15049.9,10
2018-05-18,35991.8,14
2018-05-21,24709.2,12
2018-05-22,35127.5,15
2018-05-23,15566.7,8
2018-05-24,14495.6,7
2018-05-25,27913,5
2018-05-28,11425.7,7
2018-05-29,29943.7,9
2018-05-30,21483.8,6
2018-05-31,21761.4,10
2018-06-01,63126.6,11
2018-06-04,29044.3,11
2018-06-05,45703,11
2018-06-06,31372.6,7
2018-06-07,40979.1,9
2018-06-08,21555.5,10
2018-06-11,29338.7,13
2018-06-12,17143.1,7
2018-06-13,61656.7,13
2018-06-14,26572.9,9
2018-06-15,10771.7,4
2018-06-18,26290.6,9
2018-06-19,18313.9,8
2018-06-20,21308.3,9
2018-06-21,17901.8,7
2018-06-22,17037.2,7
2018-06-25,26679.1,10
2018-06-26,14036.9,6
2018-06-27,8915.8,6
2018-06-28,49256.1,13
2018-07-02,27391.2,11
2018-07-03,28996.8,10
2018-07-04,11318.6,4
2018-07-05,3864.32,2
2018-07-06,17622.55,7
2018-07-09,24946.17,10
2018-07-10,40008.64,10
2018-07-11,12703.7,6
2018-07-12,13622.76,5
2018-07-13,32007.92,7
2018-07-16,26496.22,8
2018-07-17,5423.02,2
2018-07-18,22362.64,8
2018-07-19,10489.83,4
2018-07-20,30072.84,11
2018-07-23,25788.46,12
2018-07-24,26855.57,7
2018-07-25,27863.47,7
2018-07-26,37419.17,10
2018-07-27,36033.82,10
2018-07-30,24811.4,9
2018-07-31,13450.01,5
2018-08-01,19294.42,10
2018-08-02,22027.66,8
2018-08-03,43732.98,12
2018-08-06,31259.22,15
2018-08-07,22719.17,9
2018-08-08,24502.48,10
2018-08-09,40620.03,15
2018-08-10,34957.82,10
2018-08-13,38613.69,13
2018-08-14,26978.94,9
2018-08-15,24710.02,11
2018-08-16,8278.56,4
2018-08-17,32777.38,9
2018-08-18,20651.06,4
2018-08-20,31775.12,12
2018-08-21,26201.3,12
2018-08-22,39435.07,12
2018-08-23,17042.93,6
2018-08-24,45728.03,16
2018-08-27,42862.17,16
2018-08-28,35625.63,11
2018-08-29,53212.37,18
2018-08-31,53477.76,17
2018-09-03,57082.67,17
2018-09-04,44714.25,16
2018-09-05,38913.38,15
2018-09-06,38495.98,14
2018-09-07,21083.56,10
2018-09-10,40756.74,14
2018-09-11,39644.38,14
2018-09-12,27576.2,9
2018-09-13,39096,16
2018-09-14,44846.77,16
2018-09-17,24967.37,13
2018-09-18,35353.82,12
2018-09-19,35459.12,14
2018-09-20,25856.76,18
2018-09-21,31596.86,10
2018-09-24,54822.32,17
2018-09-25,39202.49,15
2018-09-26,53330.96,16
2018-09-27,60157.12,12
2018-09-28,35758.22,13
2018-10-01,35949.38,15
2018-10-02,47378.04,18
2018-10-03,37836.4,13
2018-10-04,52684.84,19
2018-10-05,55037.06,17
2018-10-09,60638.83,21
2018-10-10,41213.7,13
2018-10-11,38528.14,9
2018-10-12,40721.66,15
2018-10-15,28430.5,16
2018-10-16,34449.98,16
2018-10-17,48088.34,9
2018-10-18,35860.6,15
2018-10-19,45647.05,14
2018-10-22,22875.89,8
2018-10-23,59270.98,21
2018-10-24,34061.78,16
2018-10-25,44885.38,17
2018-10-26,33342,14
2018-10-29,39880.65,14
2018-10-30,48061.82,16
2018-10-31,65309.39,22
2018-11-02,43773.3,14
2018-11-05,62350.66,25
2018-11-06,51183.94,10
2018-11-07,48166.53,17
2018-11-08,32007.76,11
2018-11-09,22596.84,10
2018-11-12,50548.22,13
2018-11-13,44829.34,17
2018-11-14,50040.28,18
2018-11-15,52775.08,17
2018-11-16,33490.1,13
2018-11-19,47009.04,27
2018-11-20,52543.59,26
2018-11-21,37139.96,17
2018-11-22,51305.48,22
2018-11-23,68161.58,21
2018-11-26,44365.63,19
2018-11-27,90253.94,23
2018-11-28,57141.8,17
2018-11-29,54423.51,18
2018-11-30,29678.88,18
2018-12-03,64733.8,19
2018-12-04,26954.95,6
2018-12-05,119098.78,28
2018-12-06,26355.84,13
2018-12-07,41269.48,11
2018-12-10,37325.5,13
2018-12-11,39172.1,15
2018-12-12,7078.2,3
2018-12-13,24782.96,8
2018-12-14,21317.48,12
2018-12-17,30561.74,12
2018-12-18,29071.16,11
2018-12-19,35806.03,17
2018-12-20,19462.6,8
2018-12-21,17837.22,5
2018-12-24,73481.59,19
2018-12-26,54235.28,21
2018-12-27,50162.38,15
2018-12-28,36949.42,19
2018-12-31,40620.77,9
